DeviceName	Port	VLanID	AllocatedIP	ConnectedDevice
LDBRR166	Fa0/1/4	550	10.44.166.90	PP11166
LDBRR166	T1	NULL	10.45.186.166	NULL
LDBRR166	T0	NULL	10.45.20.166	NULL
 LDBRS228	Gi1/0/44	20	10.44.228.19	 RSA01228
LDBRR167	LB	NULL	10.44.167.250	NULL
LDBRR167	Fa0/1/1   	550	10.44.167.82	PP01167
LDBRR167	Fa0/1/2	550	10.44.167.83	PP02167
LDBRR167	Fa0/1/3	550	10.44.167.84	PP03167
LDBRR167	Fa0/1/4	550	10.44.167.85	PP04167
LDBRR167	Fa0/1/5	550	10.44.167.86	PP05167
LDBRR167	Fa0/1/6	550	10.44.167.87	PP06167
LDBRR167	Fa0/1/7	550	10.44.167.90	PP11167
LDBRR167	Fa0/1/8	550	10.44.167.91	PP12167
LDBRR167	T1	NULL	10.45.186.167	NULL
LDBRR167	T0	NULL	10.45.20.167	NULL
 LDBRS228	Gi1/0/1	20	10.44.228.2	 LDR01228
LDBRR169	LB	NULL	10.44.169.250	NULL
LDBRR169	Fa0/0/1   	550	10.44.169.82	PP01169
LDBRR169	Fa0/0/2	550	10.44.169.83	PP02169
LDBRR169	Fa0/0/3	550	10.44.169.90	PP11169
LDBRR169	T1	NULL	10.45.186.169	NULL
LDBRR169	T0	NULL	10.45.20.169	NULL
 LDBRS228	Gi1/0/37	730	10.44.228.227	 WS01228
LDBRR170	LB	NULL	10.44.170.250	NULL
LDBRR170	Fa0/1/1	550	10.44.170.82	PP01170
LDBRR170	Fa0/1/2	550	10.44.170.83	PP02170
LDBRR170	Fa0/1/3	550	10.44.170.84	PP03170
LDBRR170	Fa0/1/4	550	10.44.170.85	PP04170
LDBRR170	Fa0/1/5	550	10.44.170.90	PP11170
LDBRR170	T1	NULL	10.45.186.170	NULL
LDBRR170	T0	NULL	10.45.20.170	NULL
 LDBRS228	Gi1/0/38	730	10.44.228.228	 WS02228
LDBRR172	LB	NULL	10.44.172.250	NULL
LDBRR172	Fa0/1/1   	550	10.44.172.82	PP01172
LDBRR172	Fa0/1/2	550	10.44.172.83	PP02172
LDBRR172	Fa0/1/3	550	10.44.172.84	PP03172
LDBRR172	Fa0/1/4	550	10.44.172.85	PP04172
LDBRR172	Fa0/1/5	550	10.44.172.86	PP05172
LDBRR172	Fa0/1/6	550	10.44.172.90	PP11172
LDBRR172	T1	NULL	10.45.186.172	NULL
LDBRR172	T0	NULL	10.45.20.172	NULL
 LDBRS228	LB	NULL	10.44.228.254	NULL
LDBRR173	LB	NULL	10.44.173.250	NULL
LDBRR173	Fa0/1/1	550	10.44.173.82	PP01173
LDBRR173	Fa0/1/2	550	10.44.173.83	PP02173
LDBRR173	Fa0/1/3	550	10.44.173.84	PP03173
LDBRR173	Fa0/1/4	550	10.44.173.90	PP11173
LDBRR173	T1	NULL	10.45.186.173	NULL
LDBRR173	T0	NULL	10.45.20.173	NULL
 LDBRS228	Gi1/0/2	20	10.44.228.3	 LDR02228
LDBRR174	LB	NULL	10.44.174.250	NULL
LDBRR174	Fa0/1/1   	550	10.44.174.82	PP01174
LDBRR174	Fa0/1/2	550	10.44.174.83	PP02174
